journal,normalized_heading,count
JF,abstract,452
JF,references,450
JF,supporting information,442
JF,conclusion,370
JF,data,152
JF,table i summary statistics,72
JF,model,61
JF,results,58
JF,discussion,48
JF,appendix,46
JF,robustness,45
JF,related literature,44
JF,conclusions,41
JF,summary statistics,36
JF,the model,27
JF,equilibrium,25
JF,replication code,25
JF,main results,24
JF,empirical results,22
JF,extensions,21
JF,model setup,20
JF,appendix: proofs,19
JF,empirical strategy,19
JF,appendix a: proofs,19
JF,proof of proposition 4,19
JF,table ii summary statistics,18
JF,methodology,18
JF,data sources,17
JF,proof of proposition 2,17
JF,concluding remarks,17
JF,proof of proposition 1,16
JF,empirical analysis,16
JF,estimation,16
JF,proof of proposition 5,15
JF,calibration,15
JF,proof of proposition 3,15
JF,setup,15
JF,data description,15
JF,institutional background,15
JF,data and summary statistics,15
JF,mechanisms,14
JF,data and methodology,14
JF,appendix: variable definitions,14
JF,table i descriptive statistics,14
JF,descriptive statistics,14
JF,robustness tests,13
JF,quantitative analysis,12
JF,background,12
JF,heterogeneity,11
JF,implications,10
JF,alternative explanations,10
JF,proof of lemma 1,10
JF,proof of lemma 2,10
JF,appendix b: proofs,10
JF,conceptual framework,10
JF,empirical specification,10
JF,applications,9
JF,firms,9
JF,comparative statics,9
JF,identification strategy,9
JF,empirical implications,9
JF,acknowledgments,9
JF,theoretical framework,9
JF,summary,9
JF,literature review,8
JF,research design,8
JF,analysis,8
JF,estimation results,8
JF,external validity,8
JF,sample,8
JF,baseline model,8
JF,preferences,8
JF,robustness checks,8
JF,framework,7
JF,households,7
JF,proof of lemma 4,7
JF,proof of proposition 6,7
JF,empirical evidence,7
JF,equilibrium characterization,7
JF,sample construction,7
JF,identification,6
JF,theory,6
JF,proof of lemma 3,6
JF,discussion and conclusion,6
JF,equilibrium analysis,6
JF,real effects,6
JF,experimental design,6
JF,empirical predictions,6
JF,data and variables,6
JF,environment,6
JF,data and empirical strategy,6
JF,data and sample,6
JF,preliminary analysis,6
JF,proof of corollary 1,6
